,ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,x,y,z,ParcelID_sorted
63,64,L,69.8136,-46.3 -41.4 25.9,Auditory,-46.3,-41.4,25.9,1
66,67,L,133.6981,-59.6 -38.5 16.5,Auditory,-59.6,-38.5,16.5,2
68,69,L,87.5338,-40.6 -38.3 14.5,Auditory,-40.6,-38.3,14.5,3
64,65,L,57.6828,-35.8 -33.5 19.9,Auditory,-35.8,-33.5,19.9,4
67,68,L,184.7656,-58.7 -29.9 11.1,Auditory,-58.7,-29.9,11.1,5
9,10,L,179.8312,-32 -29.3 15.6,Auditory,-32.0,-29.3,15.6,6
103,104,L,235.3478,-50.6 -22.4 19.2,Auditory,-50.6,-22.4,19.2,7
69,70,L,77.923,-33.7 -21.8 9.9,Auditory,-33.7,-21.8,9.9,8
65,66,L,318.1656,-52.7 -20.6 5.4,Auditory,-52.7,-20.6,5.4,9
101,102,L,84.3721,-52.2 -14.1 15.2,Auditory,-52.2,-14.1,15.2,10
76,77,L,177.8053,-37.2 -14 19.4,Auditory,-37.2,-14.0,19.4,11
159,160,L,387.7637,-54.4 -1.4 -0.7,Auditory,-54.4,-1.4,-0.7,12
62,63,L,400.9798,-57.7 -40.6 35.8,CinguloOperc,-57.7,-40.6,35.8,13
20,21,L,551.0859,-16.6 -36.1 42.7,CinguloOperc,-16.6,-36.1,42.7,14
102,103,L,219.1806,-55.1 -32.3 23,CinguloOperc,-55.1,-32.3,23.0,15
104,105,L,316.5642,-58.8 -23.9 31,CinguloOperc,-58.8,-23.9,31.0,16
70,71,L,258.3157,-38.7 -16 -5.3,CinguloOperc,-38.7,-16.0,-5.3,17
33,34,L,267.7211,-8 -8.7 62.9,CinguloOperc,-8.0,-8.7,62.9,18
39,40,L,97.7425,-42.1 -4.5 47.3,CinguloOperc,-42.1,-4.5,47.3,19
100,101,L,130.0901,-59.8 -4.1 8.8,CinguloOperc,-59.8,-4.1,8.8,20
71,72,L,314.4165,-39.1 -1.6 -12.2,CinguloOperc,-39.1,-1.6,-12.2,21
110,111,L,190.3067,-51.8 -0.6 5,CinguloOperc,-51.8,-0.6,5.0,22
21,22,L,508.2096,-9.4 -0.1 42.9,CinguloOperc,-9.4,-0.1,42.9,23
